time,wx,wy,wz,a0,a1,a2,a3
4.200000000000001066e+00,8.376241635564604660e-02,7.728574466547821764e-02,4.689831906335512057e-02,9.666611193158520798e-01,1.769514418655679933e-01,1.533144135957740239e-01,1.036781472081007710e-01
4.300000000000000711e+00,8.367889040120532473e-02,7.745017204789614307e-02,4.676353198266545996e-02,9.650663140736622791e-01,1.809494448330958294e-01,1.570748750485033984e-01,1.059801466472239662e-01
4.400000000000000355e+00,8.359542730983186842e-02,7.761396336945024232e-02,4.662859283157142626e-02,9.634350526783862501e-01,1.849346228684001503e-01,1.608380548594870452e-01,1.082737486380431768e-01
4.500000000000000000e+00,8.351202905842998458e-02,7.777711916320037555e-02,4.649350318747744876e-02,9.617674064797737676e-01,1.889067931957235935e-01,1.646037857085911049e-01,1.105589121151154541e-01
4.599999999999999645e+00,8.342869761629392866e-02,7.793963997209611694e-02,4.635826461970056489e-02,9.600634482785684876e-01,1.928657739414303685e-01,1.683719000521605724e-01,1.128355963083580299e-01
4.699999999999999289e+00,8.334543494508152295e-02,7.810152634886459444e-02,4.622287868944750799e-02,9.583232523219179511e-01,1.968113841403779096e-01,1.721422301320608972e-01,1.151037607424323789e-01
4.799999999999998934e+00,8.326224299878842716e-02,7.826277885589842664e-02,4.608734694979253060e-02,9.565468942987319645e-01,2.007434437422173923e-01,1.759146079847154487e-01,1.173633652361297935e-01
4.899999999999998579e+00,8.317912372372320007e-02,7.842339806514385392e-02,4.595167094565592858e-02,9.547344513349959039e-01,2.046617736176242208e-01,1.796888654501390126e-01,1.196143699017591516e-01
4.999999999999998224e+00,8.309607905848301335e-02,7.858338455798900835e-02,4.581585221378323136e-02,9.528860019890281752e-01,2.085661955644560750e-01,1.834648341809654859e-01,1.218567351445357244e-01
5.099999999999997868e+00,8.301311093393011487e-02,7.874273892515236406e-02,4.567989228272512081e-02,9.510016262466988168e-01,2.124565323138422335e-01,1.872423456514714923e-01,1.240904216619732464e-01
5.199999999999997513e+00,8.293022127316893033e-02,7.890146176657138188e-02,4.554379267281802313e-02,9.490814055165919250e-01,2.163326075362007050e-01,1.910212311665928087e-01,1.263153904432774144e-01
5.299999999999997158e+00,8.284741199152387270e-02,7.905955369129129273e-02,4.540755489616538770e-02,9.471254226251260011e-01,2.201942458471857211e-01,1.948013218709352956e-01,1.285316027687423979e-01
5.399999999999996803e+00,8.276468499651790101e-02,7.921701531735411694e-02,4.527118045661964602e-02,9.451337618116252282e-01,2.240412728135644793e-01,1.985824487577783071e-01,1.307390202091496811e-01
5.499999999999996447e+00,8.268204218785164816e-02,7.937384727168786402e-02,4.513467084976482968e-02,9.431065087233442279e-01,2.278735149590233877e-01,2.023644426780709382e-01,1.329376046251700416e-01
