time,wx,wy,wz,a0,a1,a2,a3
4.400000000000000355e+00,8.359542730983186842e-02,7.761396336945024232e-02,4.662859283157142626e-02,9.417123703264357326e-02,8.189952002181292989e-02,5.513471872034483856e-02,0.000000000000000000e+00
4.500000000000000000e+00,8.351202905842998458e-02,7.777711916320037555e-02,4.649350318747744876e-02,9.627524414231559968e-02,8.388784076894351127e-02,5.634596427121383450e-02,0.000000000000000000e+00
4.599999999999999645e+00,8.342869761629392866e-02,7.793963997209611694e-02,4.635826461970056489e-02,9.837790735561667554e-02,8.588232890432567768e-02,5.755600149317926378e-02,0.000000000000000000e+00
4.699999999999999289e+00,8.334543494508152295e-02,7.810152634886459444e-02,4.622287868944750799e-02,1.004792440122113245e-01,8.788302234579523087e-02,5.876487169034264740e-02,0.000000000000000000e+00
4.799999999999998934e+00,8.326224299878842716e-02,7.826277885589842664e-02,4.608734694979253060e-02,1.025792714390462018e-01,8.988995935978061347e-02,5.997261610409992949e-02,0.000000000000000000e+00
4.899999999999998579e+00,8.317912372372320007e-02,7.842339806514385392e-02,4.595167094565592858e-02,1.046780069497022098e-01,9.190317856498789184e-02,6.117927591632452838e-02,0.000000000000000000e+00
4.999999999999998224e+00,8.309607905848301335e-02,7.858338455798900835e-02,4.581585221378323136e-02,1.067754678437372179e-01,9.392271893613327038e-02,6.238489225255114401e-02,0.000000000000000000e+00
5.099999999999997868e+00,8.301311093393011487e-02,7.874273892515236406e-02,4.567989228272512081e-02,1.088716714060189023e-01,9.594861980772359522e-02,6.358950618516083508e-02,0.000000000000000000e+00
5.199999999999997513e+00,8.293022127316893033e-02,7.890146176657138188e-02,4.554379267281802313e-02,1.109666349060473567e-01,9.798092087788563831e-02,6.479315873656789349e-02,0.000000000000000000e+00
5.299999999999997158e+00,8.284741199152387270e-02,7.905955369129129273e-02,4.540755489616538770e-02,1.130603755972669766e-01,1.000196622122447726e-01,6.599589088240898072e-02,0.000000000000000000e+00
5.399999999999996803e+00,8.276468499651790101e-02,7.921701531735411694e-02,4.527118045661964602e-02,1.151529107163672128e-01,1.020648842478537460e-01,6.719774355473501215e-02,0.000000000000000000e+00
5.499999999999996447e+00,8.268204218785164816e-02,7.937384727168786402e-02,4.513467084976482968e-02,1.172442574825716538e-01,1.041166277971722343e-01,6.839875764520635115e-02,0.000000000000000000e+00
5.599999999999996092e+00,8.259948545738332593e-02,7.953005018999592668e-02,4.499802756289988936e-02,1.193344330969151462e-01,1.061749340520979218e-01,6.959897400829176406e-02,0.000000000000000000e+00
5.699999999999995737e+00,8.251701668910925436e-02,7.968562471664673852e-02,4.486125207502267287e-02,1.214234547415083548e-01,1.082398445880497495e-01,7.079843346447167729e-02,0.000000000000000000e+00
5.799999999999995381e+00,8.243463775914505742e-02,7.984057150456358443e-02,4.472434585681454161e-02,1.235113395787893059e-01,1.103114013681041755e-01,7.199717680344620840e-02,0.000000000000000000e+00
5.899999999999995026e+00,8.235235053570753860e-02,7.999489121511470235e-02,4.458731037062566710e-02,1.255981047507615245e-01,1.123896467471851013e-01,7.319524478734854012e-02,0.000000000000000000e+00
5.999999999999994671e+00,8.227015687909719488e-02,8.014858451800359329e-02,4.445014707046097274e-02,1.276837673782181548e-01,1.144746234763082404e-01,7.439267815396410910e-02,0.000000000000000000e+00
6.099999999999994316e+00,8.218805864168139685e-02,8.030165209115956715e-02,4.431285740196673484e-02,1.297683445599517316e-01,1.165663747068807488e-01,7.558951761995615082e-02,0.000000000000000000e+00
6.199999999999993960e+00,8.210605766787820725e-02,8.045409462062855233e-02,4.417544280241780807e-02,1.318518533719489627e-01,1.186649439950568374e-01,7.678580388409808610e-02,0.000000000000000000e+00
